input,response
I feel like Michael Corleone,in that scene
in that scene,where that fat guy teaches him
where that fat guy teaches him,how to shoot that gun.
how to shoot that gun.,Are you saying
Are you saying,that I'm the fat guy?
that I'm the fat guy?,'Cause I'm not the fat guy.
'Cause I'm not the fat guy.,Mm.
Mm.,You know what his name was?
You know what his name was?,- Yeah.
- Yeah.,- Cordoza.
- Cordoza.,- Clemenza.
- Clemenza.,- I knew that.
- I knew that.,I was just testing
I was just testing,to see if you knew it.
to see if you knew it.,I knew that you knew
I knew that you knew,that I knew.
that I knew.,[Casual music]
[Casual music],♪ ♪
♪ ♪,Train wreck.
Train wreck.,"Hey, I'm looking"
"Hey, I'm looking",for Rene.
for Rene.,I'm Rene.
I'm Rene.,I'm sorry.
I'm sorry.,We don't sell skinny jeans
We don't sell skinny jeans,at this location.
at this location.,Did Harvey tell you
Did Harvey tell you,"I was coming, or...?"
"I was coming, or...?",Harvey Specter
Harvey Specter,sent you?
sent you?,That's another story.
That's another story.,Do you know
Do you know,your inseam?
your inseam?,I don't.
I don't.,It's probably a medium.
It's probably a medium.,Oh. Why don't you browse
Oh. Why don't you browse,for a while?
for a while?,"These are the most exclusive,"
"These are the most exclusive,",and we move down in price
and we move down in price,as you head to the door.
as you head to the door.,Oh.
Oh.,Okay.
Okay.,[Clears throat]
[Clears throat],Large?
Large?,That's not how it works.
That's not how it works.,Huh.
Huh.,[Cell phone rings]
[Cell phone rings],So Trevor's getting you to do
So Trevor's getting you to do,"his dirty work for him, huh?"
"his dirty work for him, huh?",All I know is you
All I know is you,aren't talking to each other.
aren't talking to each other.,I miss you.
I miss you.,I want things
I want things,to go back
to go back,to the way they were.
to the way they were.,I miss you too.
I miss you too.,But...
But...,I'm not sure
I'm not sure,things are ever going back
things are ever going back,to the way they were.
to the way they were.,I gotta go.
I gotta go.,What did he say?
What did he say?,He said things
He said things,aren't ever going back
aren't ever going back,to the way they were.
to the way they were.,What did you do?
What did you do?,I don't know.
I don't know.,Hey.
Hey.,So the files
So the files,are on their way.
are on their way.,We won?
We won?,That's fantastic.
That's fantastic.,So now we have a week
So now we have a week,to corroborate Nancy's story.
to corroborate Nancy's story.,"Listen, I couldn't have done it"
"Listen, I couldn't have done it",without you.
without you.,You wouldn't even know
You wouldn't even know,where to look without me.
where to look without me.,You know what nobody likes?
You know what nobody likes?,Nobody likes a showoff.
Nobody likes a showoff.,[Intercom beeps]
[Intercom beeps],Hello.
Hello.,"Yeah, he's here."
"Yeah, he's here.",Okay. Thank you.
Okay. Thank you.,Files are in
Files are in,Conference Room C.
Conference Room C.,Why wouldn't they bring them
Why wouldn't they bring them,to my cubicle?
to my cubicle?,They're trying to bury you
They're trying to bury you,in paperwork.
in paperwork.,"Well, they picked"
"Well, they picked",the wrong guy.
the wrong guy.,"If they didn't, I did."
"If they didn't, I did.",Get it done
Get it done,by the end of the week.
by the end of the week.,I got to run
I got to run,and charm our new client.
and charm our new client.,[Sighs]
[Sighs],Nice to finally meet you.
Nice to finally meet you.,Jessica says you're
Jessica says you're,gonna sweep me off my feet.
gonna sweep me off my feet.,"I'll do my best,"
"I'll do my best,",Mr. Dockery.
Mr. Dockery.,You got a nice serve there.
You got a nice serve there.,Working on it.
Working on it.,What the hell is this?
What the hell is this?,It's you having sex
It's you having sex,with a woman
with a woman,who isn't Mrs. Dockery.
who isn't Mrs. Dockery.,Are you trying
Are you trying,to blackmail me?
to blackmail me?,You asked my firm
You asked my firm,where you're vulnerable
where you're vulnerable,to corporate takeover.
to corporate takeover.,That's it right there.
That's it right there.,What are you pulling here?
What are you pulling here?,Your wife owns 10%
Your wife owns 10%,of the company's
of the company's,voting shares.
voting shares.,You've been seeing this woman
You've been seeing this woman,and several others
and several others,for quite some time.
for quite some time.,How do you think
How do you think,your wife's gonna vote
your wife's gonna vote,after she finds out?
after she finds out?,Who says she has to find out?
Who says she has to find out?,My investigator got these
My investigator got these,within a week.
within a week.,What do you think
What do you think,a motivated competitor's
a motivated competitor's,gonna dig up in a year?
gonna dig up in a year?,I have a solution.
I have a solution.,"Trade her your preferred shares,"
"Trade her your preferred shares,","which have no voting rights,"
"which have no voting rights,","for her common shares,"
"for her common shares,",which do.
which do.,The preferred shares
The preferred shares,are worth $2 million more.
are worth $2 million more.,A fraction
A fraction,of what you'll lose
of what you'll lose,if you get voted
if you get voted,out of your company.
out of your company.,"John, I don't care"
"John, I don't care",if you sleep
if you sleep,with every woman
with every woman,in the Hamptons.
in the Hamptons.,Just give her
Just give her,the preferred shares.
the preferred shares.,Jessica said you were gonna
Jessica said you were gonna,charm me to get my business.
charm me to get my business.,I'm not interested
I'm not interested,in getting your business.
in getting your business.,I'm interested
I'm interested,in keeping it.
in keeping it.,I know where
I know where,they don't want us to look.
they don't want us to look.,Did you get through
Did you get through,all those files in one night?
all those files in one night?,"I would have done it faster,"
"I would have done it faster,",but I ordered a pizza.
but I ordered a pizza.,"Speaking of which,"
"Speaking of which,",have you ever had
have you ever had,the cheese in the crust?
the cheese in the crust?,Because it blew my mind.
Because it blew my mind.,What'd you find?
What'd you find?,There was a dismissal
There was a dismissal,"on March 12th, 2005."
"on March 12th, 2005.",But the file with the employee
But the file with the employee,name on it is missing.
name on it is missing.,It's our woman.
It's our woman.,I know it is.
I know it is.,I'm moving to slap sanctions
I'm moving to slap sanctions,"on their attorney,"
"on their attorney,",possible jail time.
possible jail time.,Guy's not gonna know
Guy's not gonna know,what hit him.
what hit him.,"Dennis, it's Harvey Specter."
"Dennis, it's Harvey Specter.",Did you have anything to do
Did you have anything to do,"with the March 12, 2005 files"
"with the March 12, 2005 files",left out of discovery?
left out of discovery?,"If they're here by noon,"
"If they're here by noon,",I'll believe you.
I'll believe you.,"If not,"
"If not,",we're filing for sanctions.
we're filing for sanctions.,Threat of sanctions is better
Threat of sanctions is better,than filing for sanctions.
than filing for sanctions.,That's what I meant.
That's what I meant.,"Threaten, not file."
"Threaten, not file.",Who would mean that?
Who would mean that?,Shave.
Shave.,Have you ever heard
Have you ever heard,of this woman?
of this woman?,Joanna Webster?
Joanna Webster?,No. Why?
No. Why?,The company's trying
The company's trying,to hide her from us.
to hide her from us.,You think Hunt did
You think Hunt did,the same thing to her
the same thing to her,that he did to me?
that he did to me?,Yes.
Yes.,Then you have to make her
Then you have to make her,come forward and say so.
come forward and say so.,Yeah.
Yeah.,That's the plan.
That's the plan.,Thank you.
Thank you.,Joanna Webster?
Joanna Webster?,Can I help you?
Can I help you?,Hi.
Hi.,My name's Mike Ross.
My name's Mike Ross.,I'm a--
I'm a--,I'm a lawyer.
I'm a lawyer.,I have some questions for you
I have some questions for you,about your time
about your time,at Devlin McGreggor.
at Devlin McGreggor.,"Please. Look, just let me"
"Please. Look, just let me",tell you a story
tell you a story,"about my client, okay?"
"about my client, okay?",Fine. Just a second.
Fine. Just a second.,"Mr. Ross,"
"Mr. Ross,",what happened to me
what happened to me,happened six years ago.
happened six years ago.,"It was horrible,"
"It was horrible,",and there was a reason
and there was a reason,I didn't do anything
I didn't do anything,about it.
about it.,They'll put me on that stand
They'll put me on that stand,"and attack me,"
"and attack me,",and I don't want that.
and I don't want that.,"Ms. Webster, Joanna,"
"Ms. Webster, Joanna,","this man is a predator,"
"this man is a predator,","and if you don't help stop him,"
"and if you don't help stop him,",he will do it again.
he will do it again.,All you have to do
All you have to do,is give a deposition.
is give a deposition.,I'm sorry.
I'm sorry.,I can't do it.
I can't do it.,What happened
What happened,with the witness?
with the witness?,"Uh, I failed..."
"Uh, I failed...",To not be awesome.
To not be awesome.,I got her to testify!
I got her to testify!,You should have seen me.
You should have seen me.,I tried everything.
I tried everything.,"He'd do it again,"
"He'd do it again,",I'd be with her every step
I'd be with her every step,of the way...
of the way...,Nothing worked.
Nothing worked.,And then it hit me.
And then it hit me.,I asked her
I asked her,what if it was her daughter
what if it was her daughter,that he did this to.
that he did this to.,She melted.
She melted.,And you know how I came up
And you know how I came up,with that little gem?
with that little gem?,I cared about her.
I cared about her.,Oh.
Oh.,[Imitates gunshot]
[Imitates gunshot],Yeah.
Yeah.,Thank you.
Thank you.,I'm glad to see
I'm glad to see,that staying up all night
that staying up all night,doesn't make you act
doesn't make you act,like a complete idiot.
like a complete idiot.,Go home and get some sleep.
Go home and get some sleep.,I don't want you waving
I don't want you waving,that thing around
that thing around,during
during,tomorrow's deposition.
tomorrow's deposition.,[Clears throat]
[Clears throat],Harvey.
Harvey.,How's the pro bono going?
How's the pro bono going?,Great. I just talked a witness
Great. I just talked a witness,into testifying.
into testifying.,Really?
Really?,What's the witness's name?
What's the witness's name?,I'm not an idiot.
I'm not an idiot.,Don't treat me like one.
Don't treat me like one.,You pawned off the case.
You pawned off the case.,"Jessica,"
"Jessica,",I've got higher profile cases--
I've got higher profile cases--,Need I remind you
Need I remind you,"that when we first met,"
"that when we first met,",you were a screw-up?
you were a screw-up?,I gave you a shot
I gave you a shot,"at the mail room,"
"at the mail room,","led you up the ranks, and then"
"led you up the ranks, and then","paid for you to go to Harvard,"
"paid for you to go to Harvard,","where, by the way,"
"where, by the way,",you jerked off the entire time
you jerked off the entire time,"you were there,"
"you were there,",and I still hired you.
and I still hired you.,And you've benefited
And you've benefited,from that ever since.
from that ever since.,"Look, I closed the Dockery case,"
"Look, I closed the Dockery case,",okay.
okay.,You made a promise to me.
You made a promise to me.,"You broke it, and then you lied"
"You broke it, and then you lied",to my face.
to my face.,So let me be clear.
So let me be clear.,This isn't professional.
This isn't professional.,This is personal.
This is personal.,And I'll tell you
And I'll tell you,something else.
something else.,"You made your bed,"
"You made your bed,",you better goddamn win.
you better goddamn win.,God damn it.
God damn it.,What the hell is wrong with you?
What the hell is wrong with you?,I need the briefcase back.
I need the briefcase back.,"Oh, so that's what this"
"Oh, so that's what this","has been about, huh?"
"has been about, huh?",You don't care
You don't care,about our friendship at all.
about our friendship at all.,"You're my oldest friend,"
"You're my oldest friend,",and you know it.
and you know it.,But you don't seem
But you don't seem,"to care about that anymore,"
"to care about that anymore,","and, yeah, I need"
"and, yeah, I need",the briefcase back.
the briefcase back.,"And I'm gonna find it, Mike."
"And I'm gonna find it, Mike.","Well, I ditched it"
"Well, I ditched it",when I was running away
when I was running away,from the cops
from the cops,that you sent me into.
that you sent me into.,Mike.
Mike.,Where you going?
Where you going?,To my cubicle.
To my cubicle.,"No, you're not."
"No, you're not.",It's pee in a cup time.
It's pee in a cup time.,I'm sorry. What?
I'm sorry. What?,Drug test.
Drug test.,Follow me.
Follow me.,I'm just gonna put my stuff
I'm just gonna put my stuff,back--
back--,Now.
Now.,"Oh, by the way, my cousin"
"Oh, by the way, my cousin",was your year at Harvard.
was your year at Harvard.,And I asked him
And I asked him,if he knew you.
if he knew you.,It's so funny.
It's so funny.,He didn't.
He didn't.,"Well, what's his name?"
"Well, what's his name?",Mitch Samberg.
Mitch Samberg.,Yeah.
Yeah.,Don't know him.
Don't know him.,It's a big school.
It's a big school.,Not really.
Not really.,"We get 7,000 applications"
"We get 7,000 applications",a year.
a year.,You think you can just walk in
You think you can just walk in,and take a tour?
and take a tour?,"Oh, Mitchell."
"Oh, Mitchell.","With the slicked back hair,"
"With the slicked back hair,",graduated seventh in the class.
graduated seventh in the class.,Sure. Yeah.
Sure. Yeah.,I remember him.
I remember him.,Time to face the music.
Time to face the music.,"<i>Yeah, what's up?</i>"
"<i>Yeah, what's up?</i>",I got to get
I got to get,to the Kendrick filing.
to the Kendrick filing.,Where the hell is Mike?
Where the hell is Mike?,I don't know.
I don't know.,Leave the cup
Leave the cup,on the counter.
on the counter.,You'll have to leave that
You'll have to leave that,out here.
out here.,- Why?
- Why?,- If you take it in there
- If you take it in there,"with you, I have to check"
"with you, I have to check",to make sure you don't have
to make sure you don't have,another urine sample in it.
another urine sample in it.,[Laughs]
[Laughs],- Where you been?
- Where you been?,- Hi. Um...
- Hi. Um...,"Getting drug tested, actually."
"Getting drug tested, actually.",The deposition's
The deposition's,this afternoon.
this afternoon.,"Before they get here, I want you"
"Before they get here, I want you",to grill this woman
to grill this woman,about her background
about her background,for anything they might use
for anything they might use,against her.
against her.,You got it?
You got it?,Got it.
Got it.,- Make her tell you everything.
- Make her tell you everything.,- Everything.
- Everything.,- Everything.
- Everything.,- Everything.
- Everything.,- Okay.
- Okay.,- Okay.
- Okay.,I had been working six months
I had been working six months,when Mr. Hunt started asking me
when Mr. Hunt started asking me,"to work more,"
"to work more,",order dinner.
order dinner.,"One night, late, he tried"
"One night, late, he tried",to have sex with me.
to have sex with me.,"The next day, I requested"
"The next day, I requested",a change in assignment.
a change in assignment.,Two months later I was fired
Two months later I was fired,for having a bad attitude.
for having a bad attitude.,This is ridiculous.
This is ridiculous.,Wipe that smirk
Wipe that smirk,off your face.
off your face.,You're not even supposed
You're not even supposed,to be here.
to be here.,Mr. Hunt has every right
Mr. Hunt has every right,to be here.
to be here.,"Now, Ms. Webster, after working"
"Now, Ms. Webster, after working","for Devlin McGreggor,"
"for Devlin McGreggor,",you then went on to waitress
you then went on to waitress,"at Hooters, right?"
"at Hooters, right?","- Yes, I did."
"- Yes, I did.",- A place that advertises
- A place that advertises,the sexuality
the sexuality,"of its waitstaff, correct?"
"of its waitstaff, correct?",You will have
You will have,to ask them that.
to ask them that.,I'm asking you.
I'm asking you.,And she's not answering.
And she's not answering.,Move on.
Move on.,"Ms. Webster, would you say"
"Ms. Webster, would you say",that you're a truthful person?
that you're a truthful person?,Yes.
Yes.,So when you said earlier
So when you said earlier,that you had never been arrested
that you had never been arrested,"for a crime, you were speaking"
"for a crime, you were speaking",the truth?
the truth?,- Yes.
- Yes.,"- Yes, so in 1993 then"
"- Yes, so in 1993 then",you were not arrested for
you were not arrested for,"stealing $1,000 worth of jewelry"
"stealing $1,000 worth of jewelry",from the Willow Grove Mall
from the Willow Grove Mall,in Pennsylvania?
in Pennsylvania?,I was 17.
I was 17.,That was one mistake.
That was one mistake.,Those records were supposed
Those records were supposed,to be sealed.
to be sealed.,So when you say
So when you say,"those records were sealed,"
"those records were sealed,",what you mean to say
what you mean to say,is you thought
is you thought,you could get away
you could get away,with a lie?
with a lie?,"No, that's not it."
"No, that's not it.",You're making it seem
You're making it seem,different that it is.
different that it is.,I'm sorry.
I'm sorry.,You were arrested in your past
You were arrested in your past,and you lied about it here
and you lied about it here,under oath.
under oath.,Is that
Is that,making it seem different
making it seem different,than what it is?
than what it is?,No answer.
No answer.,"Hmm, all right."
"Hmm, all right.","Let me ask you this,"
"Let me ask you this,","since you've lied here once,"
"since you've lied here once,",what's to make us believe
what's to make us believe,you're not lying about Mr. Hunt?
you're not lying about Mr. Hunt?,How the hell did you miss
How the hell did you miss,that arrest?
that arrest?,I did every background check
I did every background check,we have.
we have.,Did you grill her
Did you grill her,like I told you to?
like I told you to?,"It was a sealed record,"
"It was a sealed record,",Harvey!
Harvey!,"Goddamn it, I knew it."
"Goddamn it, I knew it.",Fix it.
Fix it.,Joanna!
Joanna!,Wait. Please!
Wait. Please!,This is why I didn't want
This is why I didn't want,to testify.
to testify.,They twist something
They twist something,from 100 years ago
from 100 years ago,and make me look like a liar.
and make me look like a liar.,They make it sound
They make it sound,like what he did
like what he did,to me didn't happen.
to me didn't happen.,It doesn't matter.
It doesn't matter.,All right?
All right?,I just--I need you
I just--I need you,to testify on Friday
to testify on Friday,and keep this case alive.
and keep this case alive.,We don't have time to find
We don't have time to find,anyone else before--
anyone else before--,would you please wait?
would you please wait?,No. I'm not waiting.
No. I'm not waiting.,You promised this
You promised this,"wouldn't happen, and it did."
"wouldn't happen, and it did.",You never told me
You never told me,you were arrested.
you were arrested.,"Don't contact me again,"
"Don't contact me again,",please.
please.,What happened
What happened,with the witness?
with the witness?,Nothing. Nothing happened.
Nothing. Nothing happened.,I couldn't fix it.
I couldn't fix it.,So you're going to quit?
So you're going to quit?,It's either that
It's either that,or have Louis Litt fire me.
or have Louis Litt fire me.,What are you talking about?
What are you talking about?,"My first day,"
"My first day,",Louis fired Gary Lipsky
Louis fired Gary Lipsky,for screwing up a case.
for screwing up a case.,He said
He said,if I did the same thing
if I did the same thing,I'd be gone just as fast.
I'd be gone just as fast.,"Well, you go back"
"Well, you go back",to the witness' house
to the witness' house,and you get her
and you get her,to testify again.
to testify again.,- I tried. There's no way.
- I tried. There's no way.,- There's always a way.
- There's always a way.,Then why don't you go
Then why don't you go,and convince her?
and convince her?,Because you screwed it up.
Because you screwed it up.,"Oh, and you don't give"
"Oh, and you don't give",a damn about the client. Right.
a damn about the client. Right.,- That's not my job.
- That's not my job.,- Does your job
- Does your job,include giving a damn
include giving a damn,about me?
about me?,Because the least
Because the least,you could do is offer
you could do is offer,to stand up to Louis for me.
to stand up to Louis for me.,Stand up for you?
Stand up for you?,I put my ass
I put my ass,"on the line for you,"
"on the line for you,",but it turns out
but it turns out,you may have had the balls
you may have had the balls,"to get this job,"
"to get this job,",but you don't have the courage
but you don't have the courage,to stick it out
to stick it out,when it gets tough.
when it gets tough.,- That's not true.
- That's not true.,- Isn't it?
- Isn't it?,You've had one foot
You've had one foot,out the door
out the door,since you got here.
since you got here.,What are you talking about?
What are you talking about?,I'm talking
I'm talking,about that briefcase
about that briefcase,being locked in your desk.
being locked in your desk.,"Yeah, I saw it."
"Yeah, I saw it.",And I know what it is.
And I know what it is.,It's your backup plan
It's your backup plan,in case this doesn't work out.
in case this doesn't work out.,You can make some quick cash
You can make some quick cash,and go right back
and go right back,to the life you told me
to the life you told me,you didn't want to lead.
you didn't want to lead.,"So if you want to quit,"
"So if you want to quit,",go ahead.
go ahead.,"But this isn't because of Louis,"
"But this isn't because of Louis,",and it isn't because of me.
and it isn't because of me.,It's because you're afraid
It's because you're afraid,you might have to admit
you might have to admit,that you're not
that you're not,as smart as you think you are.
as smart as you think you are.,"If you're here in the morning,"
"If you're here in the morning,",I'll know
I'll know,I still have an associate.
I still have an associate.,"Hey, I get"
"Hey, I get",that you were upset
that you were upset,that I was promoted
that I was promoted,"before you,"
"before you,",but if you ever threaten to fire
but if you ever threaten to fire,"one of my guys again,"
"one of my guys again,",I am going to kick your ass.
I am going to kick your ass.,Hmm.
Hmm.,What are you talking about?
What are you talking about?,"Don't play dumb with me,"
"Don't play dumb with me,",all right?
all right?,You fired Gary Lipsky
You fired Gary Lipsky,in front of Mike Ross.
in front of Mike Ross.,What's so funny?
What's so funny?,Gary Lipsky works
Gary Lipsky works,in the mail room.
in the mail room.,- What?
- What?,- I didn't fire anyone.
- I didn't fire anyone.,That's how I let
That's how I let,the new associates know
the new associates know,what's expected of them.
what's expected of them.,- You plant a fake employee
- You plant a fake employee,to manipulate the assoc--
to manipulate the assoc--,that's it.
that's it.,What?
What?,Michael.
Michael.,I want to quit.
I want to quit.,Come here.
Come here.,"When your parents died,"
"When your parents died,",I lost
I lost,my son and my daughter-in-law.
my son and my daughter-in-law.,"I was scared, alone,"
"I was scared, alone,",and I was too old to raise you.
and I was too old to raise you.,But I had no choice.
But I had no choice.,Because who else was going
Because who else was going,to care of my grandson?
to care of my grandson?,You made me a promise before.
You made me a promise before.,You're in the door.
You're in the door.,Promise me now the only way
Promise me now the only way,you'll leave
you'll leave,is if they rip you out.
is if they rip you out.,You can save your breath.
You can save your breath.,There's no way I'm testifying
There's no way I'm testifying,at the hearing tomorrow.
at the hearing tomorrow.,That's not why I'm here.
That's not why I'm here.,- I know what you did.
- I know what you did.,- What are you talking about?
- What are you talking about?,You never worked
You never worked,"for Devlin McGreggor,"
"for Devlin McGreggor,",and you were never harassed
and you were never harassed,by Mr. Hunt.
by Mr. Hunt.,- That's a l--
- That's a l--,- Now I could tell you
- Now I could tell you,that I've got the canceled
that I've got the canceled,checks or the wire transfer
checks or the wire transfer,or whatever smoking gun
or whatever smoking gun,that exists--I don't.
that exists--I don't.,But I will.
But I will.,"And when I do,"
"And when I do,",you'll be going to jail
you'll be going to jail,unless you tell me
unless you tell me,what happened right now.
what happened right now.,I'm the guy you tell.
I'm the guy you tell.,All I had to do was waste
All I had to do was waste,your time until tomorrow
your time until tomorrow,after the hearing.
after the hearing.,"Please,"
"Please,",I just needed the money.
I just needed the money.,I don't want to go to jail.
I don't want to go to jail.,Here's what you're gonna do...
Here's what you're gonna do...,Did you call
Did you call,this place before?
this place before?,Mike!
Mike!,- Hey.
- Hey.,- I'm not giving this to you
- I'm not giving this to you,because you need it.
because you need it.,I'm giving it to you
I'm giving it to you,because I don't.
because I don't.,And I don't know if I'm ready
And I don't know if I'm ready,"to forgive you yet or not,"
"to forgive you yet or not,",but I do know we're even.
but I do know we're even.,Wait a second.
Wait a second.,I...
I...,[Scoffs]
[Scoffs],Well...
Well...,[Sighs]
[Sighs],[Laughs]
[Laughs],Don't.
Don't.,Now we're even.
Now we're even.,Huh.
Huh.,I see you came to work today.
I see you came to work today.,Nice suit.
Nice suit.,It was a barter transaction.
It was a barter transaction.,I got six of them
I got six of them,for one little briefcase.
for one little briefcase.,Listen...
Listen...,I'm sorry and--
I'm sorry and--,Forget it.
Forget it.,"When I first started,"
"When I first started,",Jessica rode me so hard...
Jessica rode me so hard...,I quit once a month.
I quit once a month.,I just told you
I just told you,what you needed to hear.
what you needed to hear.,That's just it.
That's just it.,I've only ever had one person
I've only ever had one person,who told me
who told me,what I needed to hear.
what I needed to hear.,Maybe it's time I started
Maybe it's time I started,trusting somebody else.
trusting somebody else.,Merry Christmas.
Merry Christmas.,Is this for real?
Is this for real?,You know what to do.
You know what to do.,Press until it hurts.
Press until it hurts.,Wire transfer from your
Wire transfer from your,"account to Joanna Webster's,"
"account to Joanna Webster's,",phone records
phone records,with Joanna Webster
with Joanna Webster,"prior to her testimony,"
"prior to her testimony,",and an affidavit stating
and an affidavit stating,you paid Ms. Webster
you paid Ms. Webster,to falsely testify.
to falsely testify.,"Mr. Hunt, harassment"
"Mr. Hunt, harassment",is a civil violation.
is a civil violation.,The penalty is money.
The penalty is money.,"But witness tampering,"
"But witness tampering,","that's a crime,"
"that's a crime,","and you will go to prison,"
"and you will go to prison,",where I guarantee
where I guarantee,you'll learn
you'll learn,more about unwanted
more about unwanted,sexual advances
sexual advances,than you can possibly imagine.
than you can possibly imagine.,Do you think
Do you think,this is going to intimidate me?
this is going to intimidate me?,Even if this evidence
Even if this evidence,"was credible,"
"was credible,",who are you going to get
who are you going to get,to prosecute
to prosecute,a small-time
a small-time,"witness tampering charge, huh?"
"witness tampering charge, huh?","Harvey, didn't you graduate"
"Harvey, didn't you graduate",law school
law school,with the current
with the current,U.S. Attorney in New York?
U.S. Attorney in New York?,"In fact, I did."
"In fact, I did.",And I think
And I think,he might even be interested
he might even be interested,in pursuing a case like this.
in pursuing a case like this.,"Wait, are you two still close?"
"Wait, are you two still close?","Well, I was the best man"
"Well, I was the best man",at his wedding.
at his wedding.,- Wow.
- Wow.,"- No, you weren't."
"- No, you weren't.",You're bluffing.
You're bluffing.,No.
No.,I think I've got
I think I've got,some pictures...
some pictures...,of us at the ceremony.
of us at the ceremony.,Let's see.
Let's see.,Yeah.
Yeah.,Here we are.
Here we are.,"You must admit,"
"You must admit,",I look very dashing.
I look very dashing.,This is me and his mother.
This is me and his mother.,The woman adores me.
The woman adores me.,Here we are
Here we are,at his bachelor party.
at his bachelor party.,There's no strippers.
There's no strippers.,It was lame.
It was lame.,But he can't put guys like you
But he can't put guys like you,away for sexual harassment
away for sexual harassment,"and then go to strip clubs,"
"and then go to strip clubs,","now, can he?"
"now, can he?",All right.
All right.,What do you want?
What do you want?,An admission of guilt
An admission of guilt,and a guarantee
and a guarantee,that you'll obtain treatment
that you'll obtain treatment,before working again.
before working again.,And Nancy gets reinstated
And Nancy gets reinstated,with back pay.
with back pay.,- Fine.
- Fine.,- And a raise.
- And a raise.,Okay.
Okay.,All right.
All right.,Are we done?
Are we done?,The kid should be able
The kid should be able,to grow up without the burden
to grow up without the burden,of tuition hanging over
of tuition hanging over,"his head, don't you think?"
"his head, don't you think?",Which is why
Which is why,you're also gonna pay Nancy
you're also gonna pay Nancy,"an extra $250,000."
"an extra $250,000.",Charles.
Charles.,Gentlemen.
Gentlemen.,[Laughs]
[Laughs],Thank you for everything.
Thank you for everything.,You're welcome.
You're welcome.,So just one question.
So just one question.,Why'd you go
Why'd you go,to Joanna's house?
to Joanna's house?,Because I figured it out.
Because I figured it out.,I object.
I object.,I think you did it
I think you did it,because you care.
because you care.,I did it because it's my job.
I did it because it's my job.,Would you admit it?
Would you admit it?,You care about me.
You care about me.,I saw you smile when I showed up
I saw you smile when I showed up,for work this morning.
for work this morning.,I didn't smile.
I didn't smile.,I was thinking of a funny joke.
I was thinking of a funny joke.,"Look,"
"Look,",we start on this tomorrow.
we start on this tomorrow.,Does this mean
Does this mean,we're officially a team now?
we're officially a team now?,I wouldn't move your things
I wouldn't move your things,into Wayne Manor just yet.
into Wayne Manor just yet.,- So now you're Batman?
- So now you're Batman?,- Closer to him than Clemenza.
- Closer to him than Clemenza.,"- Oh, yeah, Kilmer."
"- Oh, yeah, Kilmer.",- Clooney.
- Clooney.,Both: Keaton.
Both: Keaton.,Did you really quit
Did you really quit,when you first started?
when you first started?,Of course not.
Of course not.,I'm not a wuss.
I'm not a wuss.,"== sync, corrected by <font color=""#00ff00"">elderman</font> =="
"== sync, corrected by <font color=""#00ff00"">elderman</font> ==","00:00:0,500 --> 00:00:2,00"
"00:00:0,500 --> 00:00:2,00","<font color=""#ffff00"" size=14>www.tvsubtitles.net</font>"
